station_id,neighbor_station_id,rank,distance_km
21,32,5,0.5083372200601739
22,23,1,0.2617922233911006
22,16,2,0.32141454480629056
22,21,3,0.41538687191707063
22,32,4,0.4981907440932546
22,98,5,0.5484921657287808
23,22,1,0.2617922233911006
23,16,2,0.2872164627262694
23,38,3,0.3551842688701868
23,45,4,0.3598152619249981
23,33,5,0.6323386307485372
24,33,1,0.3489671236382868
24,59,2,0.395853079836113
24,28,3,0.508827063144769
24,31,4,0.5273944437934232
24,30,5,0.557899780967914
25,63,1,0.22182413409092616
25,113,2,0.24594466655130828
25,57,3,0.3082231562618197
25,20,4,0.35962358944058986
25,47,5,0.4258075309959172
26,21,1,0.38566813825463775
26,113,2,0.39647554543144864
26,13,3,0.41988660622853985
26,36,4,0.49806793413461
26,89,5,0.5193963281973867
27,98,1,0.142509519124162
27,21,2,0.41507950949668565
27,36,3,0.448610588840831
27,1,4,0.4882893027959909
27,52,5,0.5148902837352269
28,111,1,0.2514728211657009
28,59,2,0.3212835702941263
28,44,3,0.32908821290684637
28,60,4,0.4174983285393074
28,24,5,0.508827063144769
29,10,1,0.2638044084259097
29,40,2,0.29049495269991044
29,77,3,0.3182040893340014
29,6,4,0.3799299107795608
29,14,5,0.5386762182759274
30,15,1,0.21564226286391336
30,31,2,0.31252120471459016
30,61,3,0.4327174803690974
30,2,4,0.46089495065648683
30,102,5,0.47644060258969845
31,30,1,0.31252120471459016
31,40,2,0.3375125803518576
31,77,3,0.34532963441471043
31,15,4,0.510257872662049
31,3,5,0.5262062211490941
32,64,1,0.37584609244542394
32,16,2,0.4060254226377236
32,8,3,0.4773169935394888
32,22,4,0.4981907440932546
32,21,5,0.5083372200601739
33,24,1,0.3489671236382868
33,31,2,0.57512196818773
33,14,3,0.5958094961479221
33,45,4,0.6225874823326896
33,23,5,0.6323386307485372
34,43,1,0.3211922859923088
34,18,2,0.4184586495807894
34,5,3,0.5544468999968302
34,55,4,0.6401775338302506
34,54,5,0.6733693025145052
35,42,1,0.20802139315579493
35,50,2,0.3264216163249841
35,88,3,0.3994308279400789
35,74,4,0.4940246886227629
35,72,5,0.5220356552131772
36,13,1,0.40587315065295637
36,98,2,0.41942499716294823
36,27,3,0.448610588840831
36,11,4,0.47837153476434047
36,26,5,0.49806793413461
37,52,1,0.1402004261692839
37,53,2,0.16056663170157232
37,54,3,0.19709224514439766
37,51,4,0.3634398674364129
37,1,5,0.3852613162648182
38,45,1,0.2636984600809154
38,23,2,0.3551842688701868
38,16,3,0.39380021773461077
38,109,4,0.47964081290591315
38,22,5,0.591071623088822
39,89,1,0.3733966417230222
