segment,scenario,model,feature,importance
weekend,cluster_only,RandomForest,num__hour,0.014200431161774696
weekend,cluster_only,RandomForest,num__hour_sin,0.012777775837137666
weekend,cluster_only,RandomForest,num__cluster_id,0.011901047308627836
weekend,cluster_only,RandomForest,num__month,0.008644340782162393
weekend,cluster_only,RandomForest,num__day_of_week,0.004881390382252547
weekend,cluster_only,RandomForest,num__rain,0.0031644941862139383
weekend,cluster_only,RandomForest,num__is_peak,0.0018909770223595247
weekend,cluster_only,RandomForest,num__rain_lag1h,0.0016533281813061855
weekend,cluster_only,RandomForest,cat__temp_category_10-20,0.0010245506627550975
weekend,cluster_only,RandomForest,num__rain_category,0.0008435999400819853
weekend,cluster_only,RandomForest,cat__temp_category_>20,0.0002681339474318879
weekend,cluster_only,RandomForest,cat__temp_category_<10,0.00021871900369900394
weekend,cluster_only,RandomForest,num__is_weekend,0.0
weekday,neighbor_only,RandomForest,num__lag_168h_total_count,0.3524914434930409
weekday,neighbor_only,RandomForest,num__lag_24h_total_count,0.21763691901873006
weekday,neighbor_only,RandomForest,num__lag_1h_total_count,0.04546632180042095
weekday,neighbor_only,RandomForest,num__hour_cos,0.03734839669563501
weekday,neighbor_only,RandomForest,num__lon,0.03285530857337205
weekday,neighbor_only,RandomForest,num__lat,0.028935226535786278
weekday,neighbor_only,RandomForest,num__station_id,0.028182367852460925
weekday,neighbor_only,RandomForest,num__neighbor_sum_lag_24h,0.027731714865040436
weekday,neighbor_only,RandomForest,num__neighbor_mean_lag_24h,0.02733772120069185
weekday,neighbor_only,RandomForest,num__msl,0.026583338512459316
weekday,neighbor_only,RandomForest,num__neighbor_sum_lag_1h,0.0241724430939579
weekday,neighbor_only,RandomForest,num__neighbor_mean_lag_1h,0.02392814522483398
weekday,neighbor_only,RandomForest,num__rhum,0.02094679486365464
weekday,neighbor_only,RandomForest,num__temp,0.01639190735678067
weekday,neighbor_only,RandomForest,num__hour,0.01602557987119491
weekday,neighbor_only,RandomForest,num__day_of_week,0.013462231222343694
weekday,neighbor_only,RandomForest,num__hour_sin,0.013017792249028742
weekday,neighbor_only,RandomForest,num__wetb,0.012729452083305405
weekday,neighbor_only,RandomForest,num__dewpt,0.010151151458897402
weekday,neighbor_only,RandomForest,num__vappr,0.009374870240828418
weekday,neighbor_only,RandomForest,num__month,0.006497276632989957
weekday,neighbor_only,RandomForest,num__rain,0.0028137407743286055
weekday,neighbor_only,RandomForest,num__is_peak,0.0026712782774905236
weekday,neighbor_only,RandomForest,num__rain_lag1h,0.0011835788865429875
weekday,neighbor_only,RandomForest,num__rain_category,0.0006561008032496733
weekday,neighbor_only,RandomForest,cat__temp_category_10-20,0.0006000675647347797
weekday,neighbor_only,RandomForest,num__neighbor_peak_ratio_lag_24h,0.0005291883408170548
weekday,neighbor_only,RandomForest,cat__temp_category_<10,0.00017902343802734917
weekday,neighbor_only,RandomForest,cat__temp_category_>20,0.0001006190693555727
weekday,neighbor_only,RandomForest,num__is_weekend,0.0
weekend,neighbor_only,RandomForest,num__lag_168h_total_count,0.18855740769123785
weekend,neighbor_only,RandomForest,num__lag_1h_total_count,0.16660248054081983
weekend,neighbor_only,RandomForest,num__lag_24h_total_count,0.0991737656036446
weekend,neighbor_only,RandomForest,num__lon,0.048534879826399695
weekend,neighbor_only,RandomForest,num__lat,0.04806687222682134
weekend,neighbor_only,RandomForest,num__station_id,0.04675681826925957
weekend,neighbor_only,RandomForest,num__neighbor_mean_lag_1h,0.04518188918042343
weekend,neighbor_only,RandomForest,num__neighbor_sum_lag_1h,0.044477250743659665
weekend,neighbor_only,RandomForest,num__msl,0.043763878126899226
weekend,neighbor_only,RandomForest,num__neighbor_sum_lag_24h,0.0350877838489525
weekend,neighbor_only,RandomForest,num__neighbor_mean_lag_24h,0.03438373478154746
weekend,neighbor_only,RandomForest,num__rhum,0.03214104078633013
weekend,neighbor_only,RandomForest,num__temp,0.030031155566849706
weekend,neighbor_only,RandomForest,num__hour_cos,0.02630104766572669
weekend,neighbor_only,RandomForest,num__wetb,0.02409680103271203
weekend,neighbor_only,RandomForest,num__dewpt,0.017262936046085992
weekend,neighbor_only,RandomForest,num__hour,0.016316158607558293
weekend,neighbor_only,RandomForest,num__vappr,0.015356107313599725
weekend,neighbor_only,RandomForest,num__hour_sin,0.012942400759025453
weekend,neighbor_only,RandomForest,num__month,0.009657524689201486
weekend,neighbor_only,RandomForest,num__day_of_week,0.005342640565187614
weekend,neighbor_only,RandomForest,num__rain,0.003288255778284039
weekend,neighbor_only,RandomForest,num__is_peak,0.0020957721978904827
weekend,neighbor_only,RandomForest,num__rain_lag1h,0.001994077281753908
weekend,neighbor_only,RandomForest,num__rain_category,0.0010675757172867153
weekend,neighbor_only,RandomForest,cat__temp_category_10-20,0.00097739893906901
weekend,neighbor_only,RandomForest,cat__temp_category_>20,0.00025904611028347314
weekend,neighbor_only,RandomForest,cat__temp_category_<10,0.0002273643073247899
weekend,neighbor_only,RandomForest,num__neighbor_peak_ratio_lag_24h,5.593579616525205e-05
weekend,neighbor_only,RandomForest,num__is_weekend,0.0
weekday,events_only,RandomForest,num__lag_168h_total_count,0.3586547240013495
weekday,events_only,RandomForest,num__lag_24h_total_count,0.22512312707090978
