segment,scenario,model,MAE,RMSE,R2,WAPE,MAPE_pos
weekday,baseline_current_features,RandomForest,1.3101856044815656,2.08579780905423,0.35917562142488335,82.6733533810572,71.55721059251086
weekday,baseline_current_features,Ridge,1.2824733018551289,2.1151717917362363,0.3409992585441527,80.92469351164522,66.16153719125138
weekday,baseline_current_features,BaselineMean,1.908170319115025,2.659262059230148,-0.04163817000933845,120.40648177161435,62.55108090332241
weekend,baseline_current_features,Ridge,0.9084403013918901,1.4010294177494322,0.24146896937184237,91.21817877696002,52.01733443285945
weekend,baseline_current_features,RandomForest,0.963007229220675,1.4527493146524737,0.18443195411733537,96.69734539954288,62.38767929653055
weekend,baseline_current_features,BaselineMean,1.2243924355441302,1.6391049928027364,-0.03822716900364287,122.94351968698227,41.203817674093045
weekday,cluster_only,RandomForest,1.1896191743916216,1.936854353779632,0.4474284262158086,75.06555258808282,63.15962761574019
weekday,cluster_only,Ridge,1.2006794536990786,2.0189047707077084,0.39961991255982265,75.76346162978719,62.75943211773766
weekday,cluster_only,BaselineMean,1.908170319115025,2.659262059230148,-0.04163817000933845,120.40648177161435,62.55108090332241
weekend,cluster_only,Ridge,0.8620716401683476,1.3686971533441143,0.27607500593707823,86.56221533868364,51.38145445371213
weekend,cluster_only,RandomForest,0.893060299789522,1.3846275405156665,0.2591252829783164,89.67384423609342,56.7962421360597
weekend,cluster_only,BaselineMean,1.2243924355441302,1.6391049928027364,-0.03822716900364287,122.94351968698227,41.203817674093045
weekday,neighbor_only,RandomForest,1.2467692401096797,2.0139633507329937,0.40255526597801927,78.67174972740281,67.26232423559517
weekday,neighbor_only,Ridge,1.2351997146903668,2.0713189385845663,0.3680414946175894,77.94170700660797,64.53883425841566
weekday,neighbor_only,BaselineMean,1.908170319115025,2.659262059230148,-0.04163817000933845,120.40648177161435,62.55108090332241
weekend,neighbor_only,Ridge,0.8786952001789479,1.3793412922855801,0.2647715256189057,88.23141789017009,51.611625236228
weekend,neighbor_only,RandomForest,0.9135061491498575,1.400237310090546,0.24232643657653363,91.72684996397705,57.87922004061849
weekend,neighbor_only,BaselineMean,1.2243924355441302,1.6391049928027364,-0.03822716900364287,122.94351968698227,41.203817674093045
weekday,events_only,RandomForest,1.2970892326260655,2.0677184735120417,0.3702365858008355,81.84696590227864,70.59412463785199
weekday,events_only,Ridge,1.3294217841933225,2.120128503109234,0.33790702383585514,83.88716574288733,67.81326009728477
weekday,events_only,BaselineMean,1.908170319115025,2.659262059230148,-0.04163817000933845,120.40648177161435,62.55108090332241
weekend,events_only,RandomForest,0.9633625421315252,1.451866102801411,0.18542331634883769,96.73302302918351,62.111521664682755
weekend,events_only,BaselineMean,1.2243924355441302,1.6391049928027364,-0.03822716900364287,122.94351968698227,41.203817674093045
weekend,events_only,Ridge,1.3444767747934518,1.6959344888670596,-0.11146806149550237,135.00141133839236,70.96287974487893
weekday,full,RandomForest,1.1690895538594057,1.9215130069523316,0.4561473257728049,73.77012347694519,61.879808518709766
weekday,full,Ridge,1.245483276322043,2.0205773956427167,0.3986246930683166,78.59060478252869,64.02445958163602
weekday,full,BaselineMean,1.908170319115025,2.659262059230148,-0.04163817000933845,120.40648177161435,62.55108090332241
weekend,full,RandomForest,0.8787684110146161,1.3722215592255769,0.27234198078225114,88.23876912622399,55.70806414423829
weekend,full,Ridge,1.0652695819964315,1.4571824537270837,0.17944686409786925,106.96569827133764,54.10998504584504
weekend,full,BaselineMean,1.2243924355441302,1.6391049928027364,-0.03822716900364287,122.94351968698227,41.203817674093045
